-3053.5714285714284, 863.9907290349768
-2696.4285714285716, 798.2511588706277
-2366.0714285714284, 735.3034134007585
-2138.392857142857, 692.3988621997473
-1892.8571428571422, 640.7501053518752
-1491.0714285714284, 548.725242309313
-1174.1071428571427, 473.89907290349765
-866.0714285714284, 399.02022756005067
-638.3928571428569, 341.3664138221661
-455.35714285714266, 286.3990729034979
-316.9642857142853, 237.0680573114205
-241.07142857142844, 205.06742520016815
-174.10714285714312, 175.96396965866006
-107.14285714285688, 140.96080910240198
-31.25, 126.65929203539827
-8.928571428571558, 126.79098187947739
